8.900e-1	1.3033	3.920e-7
9.000e-1	1.3032	4.200e-7
9.100e-1	1.3030	4.440e-7
9.200e-1	1.3028	4.740e-7
9.300e-1	1.3027	5.110e-7
9.400e-1	1.3025	5.530e-7
9.500e-1	1.3023	6.020e-7
9.600e-1	1.3022	7.550e-7
9.700e-1	1.3020	9.260e-7
9.800e-1	1.3018	1.120e-7
9.900e-1	1.3017	1.330e-6
1.000e-0	1.3015	1.620e-6
1.010e-0	1.3013	2.000e-6
1.020e-0	1.3012	2.250e-6
1.030e-0	1.3010	2.330e-6
1.040e-0	1.3008	2.330e-6
1.050e-0	1.3006	2.170e-6
1.060e-0	1.3005	1.960e-6
1.070e-0	1.3003	1.810e-6
1.080e-0	1.3001	1.740e-6
1.090e-0	1.3000	1.730e-6
1.100e-0	1.2998	1.700e-6
1.110e-0	1.2996	1.760e-6
1.120e-0	1.2995	1.820e-6
1.130e-0	1.2993	2.040e-6
1.140e-0	1.2991	2.250e-6
1.150e-0	1.2989	2.290e-6
1.160e-0	1.2987	3.040e-6
1.170e-0	1.2985	3.840e-6
1.180e-0	1.2984	4.770e-6
1.190e-0	1.2982	5.760e-6
1.200e-0	1.2980	6.710e-6
1.210e-0	1.2978	8.660e-6
1.220e-0	1.2976	1.020e-5
1.230e-0	1.2974	1.130e-5
1.240e-0	1.2972	1.220e-5
1.250e-0	1.2970	1.290e-5
1.260e-0	1.2969	1.320e-5
1.270e-0	1.2967	1.350e-5
1.280e-0	1.2965	1.330e-5
1.290e-0	1.2963	1.320e-5
1.300e-0	1.2961	1.320e-5
1.310e-0	1.2958	1.310e-5
1.320e-0	1.2956	1.320e-5
1.330e-0	1.2954	1.320e-5
1.340e-0	1.2952	1.340e-5
1.350e-0	1.2950	1.390e-5
1.360e-0	1.2948	1.420e-5
1.370e-0	1.2945	1.480e-5
1.380e-0	1.2943	1.580e-5
1.390e-0	1.2941	1.740e-5
1.400e-0	1.2938	1.980e-5
1.410e-0	1.2936	2.500e-5
1.420e-0	1.2933	5.400e-5
1.430e-0	1.2930	1.040e-4
1.440e-0	1.2927	2.030e-4
1.449e-0	1.2925	2.708e-4
1.460e-0	1.2923	3.511e-4
1.471e-0	1.2921	4.299e-4
1.481e-0	1.2919	5.181e-4
1.493e-0	1.2917	5.855e-4
1.504e-0	1.2915	5.899e-4
1.515e-0	1.2913	5.635e-4
1.527e-0	1.2911	5.480e-4
1.538e-0	1.2908	5.266e-4
1.563e-0	1.2903	4.394e-4
1.587e-0	1.2896	3.701e-4
1.613e-0	1.2889	3.372e-4
1.650e-0	1.2878	2.410e-4
1.680e-0	1.2869	1.890e-4
1.700e-0	1.2862	1.660e-4
1.730e-0	1.2852	1.450e-4
1.760e-0	1.2841	1.280e-4
1.800e-0	1.2826	1.030e-4
1.830e-0	1.2814	8.600e-5
1.840e-0	1.2809	8.220e-5
1.850e-0	1.2805	8.030e-5
1.855e-0	1.2802	8.500e-5
1.860e-0	1.2800	9.900e-5
1.870e-0	1.2795	1.500e-4
1.890e-0	1.2785	2.950e-4
1.905e-0	1.2777	4.687e-4
1.923e-0	1.2769	7.615e-4
1.942e-0	1.2761	1.010e-3
1.961e-0	1.2754	1.313e-3
1.980e-0	1.2747	1.539e-3
2.000e-0	1.2740	1.588e-3
2.020e-0	1.2733	1.540e-3
2.041e-0	1.2724	1.412e-3
2.062e-0	1.2714	1.244e-3
2.083e-0	1.2703	1.068e-3
2.105e-0	1.2690	8.414e-4
2.130e-0	1.2674	5.650e-4
2.150e-0	1.2659	4.320e-4
2.170e-0	1.2644	3.500e-4
2.190e-0	1.2628	2.870e-4
2.220e-0	1.2604	2.210e-4
2.240e-0	1.2586	2.030e-4
2.245e-0	1.2582	2.010e-4
2.250e-0	1.2577	2.030e-4
2.260e-0	1.2567	2.140e-4
2.270e-0	1.2558	2.320e-4
2.290e-0	1.2538	2.890e-4
2.310e-0	1.2518	3.810e-4
2.330e-0	1.2497	4.620e-4
2.350e-0	1.2475	5.480e-4
2.370e-0	1.2451	6.180e-4
2.390e-0	1.2427	6.800e-4
2.410e-0	1.2400	7.300e-4
2.430e-0	1.2373	7.820e-4
2.460e-0	1.2327	8.480e-4
2.500e-0	1.2258	9.250e-4
2.520e-0	1.2220	9.200e-4
2.550e-0	1.2155	8.920e-4
2.565e-0	1.2118	8.700e-4
2.580e-0	1.2079	8.900e-4
2.590e-0	1.2051	9.300e-4
2.600e-0	1.2021	1.010e-3
2.620e-0	1.1957	1.350e-3
2.675e-0	1.1741	3.420e-3
2.725e-0	1.1473	7.920e-3
2.778e-0	1.1077	2.000e-2
2.817e-0	1.0674	3.800e-2
2.833e-0	1.0476	5.200e-2
2.849e-0	1.0265	6.800e-2
2.865e-0	1.0036	9.230e-2
2.882e-0	0.9820	1.270e-1
2.899e-0	0.9650	1.690e-1
2.915e-0	0.9596	2.210e-1
2.933e-0	0.9727	2.760e-1
2.950e-0	0.9917	3.120e-1
2.967e-0	1.0067	3.470e-1
2.985e-0	1.0219	3.880e-1
3.003e-0	1.0427	4.380e-1
3.021e-0	1.0760	4.930e-1
3.040e-0	1.1295	5.540e-1
3.058e-0	1.2127	6.120e-1
3.077e-0	1.3251	6.250e-1
3.096e-0	1.4260	5.930e-1
3.115e-0	1.4966	5.390e-1
3.135e-0	1.5510	4.910e-1
3.155e-0	1.5999	4.380e-1
3.175e-0	1.6363	3.720e-1
3.195e-0	1.6502	3.000e-1
3.215e-0	1.6428	2.380e-1
3.236e-0	1.6269	1.930e-1
3.257e-0	1.6128	1.580e-1
3.279e-0	1.5924	1.210e-1
3.300e-0	1.5733	1.030e-1
3.322e-0	1.5577	8.360e-2
3.345e-0	1.5413	6.680e-2
3.367e-0	1.5265	5.400e-2
